a_F,c_0,c_m,c_H2,c_HF,w_rec,w_F,J,B,n_flux,n_flux_pred,n_conc,n_conc_pred,err_analytical
1.000000000000000000e+00,1.467799267622069137e-03,1.221921812255669136e-03,3.732732288165446481e-07,4.887687249022676546e-04,7.465464576330895079e-07,2.443843624511338273e-04,2.458774553664000006e-04,1.636765937018504644e+02,1.006109083137257443e+00,1.006072508408878852e+00,1.001534386290039436e+00,1.001525072865570021e+00,1.110223024625156540e-16
1.000000000000000000e+00,1.778279410038922752e-03,1.480073992513007697e-03,5.476547558283487247e-07,5.920295970052030787e-04,1.095309511656697449e-06,2.960147985026015394e-04,2.982054175259149465e-04,1.351283793997496900e+02,1.007390060838275758e+00,1.007346006794537896e+00,1.001857937507171670e+00,1.001846675969297884e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.154434690031884272e-03,1.792684144657814057e-03,8.034291106268793857e-07,7.170736578631255577e-04,1.606858221253759618e-06,3.585368289315629415e-04,3.617505453740704866e-04,1.115645500608674325e+02,1.008936789528025457e+00,1.008883791561901777e+00,1.002249456541399297e+00,1.002235844976024248e+00,2.220446049250313081e-16
1.000000000000000000e+00,2.610157215682535736e-03,2.171202579202168113e-03,1.178530159983536595e-06,8.684810316808671800e-04,2.357060319967074037e-06,4.342405158404337526e-04,4.389546364803678939e-04,9.211485004475822791e+01,1.010803089079136186e+00,1.010739425553704107e+00,1.002723101187608989e+00,1.002706657347236074e+00,2.220446049250313081e-16
1.000000000000000000e+00,3.162277660168379394e-03,2.629469624717556062e-03,1.728527626828070948e-06,1.051787849887022295e-03,3.457055253656143591e-06,5.258939249435114725e-04,5.328080354508237665e-04,7.606096610508782874e+01,1.013053077496802956e+00,1.012976738425992451e+00,1.003295922680095487e+00,1.003276069125579317e+00,2.220446049250313081e-16
1.000000000000000000e+00,3.831186849557285078e-03,3.184206399303267723e-03,2.534792598340969198e-06,1.273682559721307003e-03,5.069585196681943479e-06,6.368412798606537181e-04,6.469804502540175712e-04,6.280999876256818482e+01,1.015762866466644709e+00,1.015671525143275966e+00,1.003988431297194950e+00,1.003964478352454393e+00,5.551115123125782702e-16
1.000000000000000000e+00,4.641588833612777208e-03,3.855602634945151218e-03,3.716417919648993677e-06,1.542241053978060271e-03,7.432835839298005988e-06,7.711205269890306774e-04,7.859861986676266402e-04,5.187256544211927434e+01,1.019022408591336415e+00,1.018913400392774893e+00,1.004825260618215310e+00,1.004796387090302057e+00,1.443289932012703503e-15
1.000000000000000000e+00,5.623413251903490971e-03,4.668019041774269622e-03,5.447600443591774661e-06,1.867207616709707892e-03,1.089520088718362047e-05,9.336038083548538376e-04,9.553942101292211327e-04,4.284472668388713856e+01,1.022937445338158113e+00,1.022807759920818516e+00,1.005835942037865749e+00,1.005801173814927063e+00,3.219646771412953967e-15
1.000000000000000000e+00,6.812920690579608342e-03,5.650824064971951902e-03,7.982953153316449233e-06,2.260329625988780934e-03,1.596590630663323728e-05,1.130164812994390033e-03,1.162096625607656440e-03,3.539306793140984553e+01,1.027631464762666980e+00,1.027477760376913185e+00,1.007055799679639208e+00,1.007013986576045905e+00,1.065814103640150279e-14
1.000000000000000000e+00,8.254041852680181826e-03,6.839387196217005041e-03,1.169430430494388390e-05,2.735754878486801930e-03,2.338860860988933990e-05,1.367877439243401182e-03,1.414654656463179821e-03,2.924238594221088761e+01,1.033247522474702862e+00,1.033066174140852000e+00,1.008526972546905043e+00,1.008476764154987881e+00,3.363975764614224317e-14
1.000000000000000000e+00,1.000000000000000021e-02,8.276253029821975526e-03,1.712409105340756147e-05,3.310501211928790037e-03,3.424818210682230578e-05,1.655250605964395452e-03,1.723746970178040077e-03,2.416552506059388961e+01,1.039949705327121166e+00,1.039736901876364028e+00,1.010299564716381937e+00,1.010239386594371958e+00,1.036948304999896209e-13
1.000000000000000000e+00,1.211527658628588217e-02,1.001252166351955519e-02,2.506264751560392185e-05,4.005008665407821730e-03,5.012529503124055951e-05,2.002504332703911732e-03,2.102754922766392892e-03,1.997498799214899634e+01,1.047923923870609286e+00,1.047675831822850290e+00,1.012432914444145737e+00,1.012360946770255010e+00,3.210764987215952715e-13
1.000000000000000000e+00,1.467799267622068964e-02,1.210946135166121769e-02,3.665976355680700431e-05,4.843784540664487423e-03,7.331952711376270694e-05,2.421892270332242844e-03,2.568531324559768150e-03,1.651601125696317141e+01,1.057377609380671046e+00,1.057090623277743502e+00,1.014996957752678952e+00,1.014911119655617089e+00,9.940936962493651663e-13
1.000000000000000000e+00,1.778279410038922925e-02,1.464037786366582244e-02,5.358516599756075197e-05,5.856151145466328631e-03,1.071703319957947393e-04,2.928075572733165183e-03,3.142416236724754688e-03,1.366084959430777879e+01,1.068537773614011144e+00,1.068208871086724798e+00,1.018073639689431431e+00,1.017971583856553064e+00,3.065880882502369786e-12
1.000000000000000000e+00,2.154434690031883232e-02,1.769276092594922190e-02,7.825844729494101722e-05,7.077104370379689452e-03,1.565168945929135179e-04,3.538552185189842991e-03,3.851585974375669810e-03,1.130405824365893963e+01,1.081646784419639573e+00,1.081273997586557511e+00,1.021758295203971656e+00,1.021637419054660212e+00,9.406919687648951367e-12
1.000000000000000000e+00,2.610157215682535822e-02,2.137072038906480745e-02,1.141769224868975516e-04,8.548288155625922979e-03,2.283538449737951574e-04,4.274144077812961490e-03,4.730851767760551642e-03,9.358598884777794780e+00,1.096955152730595628e+00,1.096538152613431460e+00,1.026160879972572104e+00,1.026018361573616922e+00,1.110223024625156540e-16
1.000000000000000000e+00,3.162277660168379134e-02,2.579771220553674430e-02,1.663804887599248559e-04,1.031908488221469807e-02,3.327609775198498202e-04,5.159542441107348165e-03,5.825064396147047914e-03,7.752625442386151811e+00,1.114710668046921427e+00,1.114251433079418874e+00,1.031406879018764045e+00,1.031239747730271938e+00,2.220446049250313081e-16
1.000000000000000000e+00,3.831186849557287333e-02,3.111953582152159059e-02,2.421063774367413553e-04,1.244781432860863658e-02,4.842127548734827106e-04,6.223907164304317424e-03,7.192332674051282737e-03,6.426831079584560236e+00,1.135143427002622829e+00,1.134646929394809600e+00,1.037637659092842668e+00,1.037442912216906876e+00,2.220446049250313081e-16
